country_code,Country,Region,CPI score 2016,CPI score 2015,CPI score 2014,CPI Score 2013,CPI Score 2012
GEO,Georgia,ECA,57,52,52,49,52
LVA,Latvia,WE/EU,57,56,55,53,49
VCT,Saint Vincent and the Grenadines,AME,60,,62,62,62
ESP,Spain,WE/EU,58,58,60,59,65
CPV,Cabo Verde,SSA,59,55,57,58,60
DMA,Dominica,AME,59,,58,58,58
KOR,"Korea, South",AP,53,54,55,55,56
CRI,Costa Rica,AME,58,55,54,53,54
RWA,Rwanda,SSA,54,54,49,53,53
LCA,Saint Lucia,AME,60,,71,71,71
MLT,Malta,WE/EU,55,60,55,56,57
